ID;date;ComputerName;AdapterName;IsDHCPEnabled;IPAddress;SubnetMask;Gateway;DNSServers;MACAddress;Decomissioned
;;S1NAV-DB-S;vmxnet3 Ethernet Adapter;FALSE;10.171.126.132;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;00:50:56:BC:72:B4;0
;;S-K1LIME-DB-S;vmxnet3 Ethernet Adapter;FALSE;10.171.126.135;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;00:50:56:BC:26:55;0
;;S-K1CRM-DB-S;vmxnet3 Ethernet Adapter;FALSE;10.171.126.29;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;00:50:56:BC:36:D5;0
;;S1DW-DB-S;HP Network Team #1;FALSE;10.171.126.30;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;AC:16:2D:80:37:A6;0
;;S-K1ACS-S;vmxnet3 Ethernet Adapter;FALSE;10.171.126.46;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;00:50:56:BC:27:84;0
;;S4CTXBOX-DB;vmxnet3 Ethernet Adapter;FALSE;10.171.126.53;255.255.255.0;10.171.126.1;10.171.130.10/10.171.130.11;00:50:56:BC:0A:6F;0
;;S3DB-T;vmxnet3 Ethernet Adapter;FALSE;10.171.127.140;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:07:EE;0
;;S2NAV-T;HP Network Team #1;FALSE;10.171.127.151;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;2C:76:8A:57:81:CD;0
;;S2BIZ-T;HP Network Team #1;FALSE;10.171.127.152;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;2C:76:8A:57:BB:B1;0
;;S2WEBDB-T;vmxnet3 Ethernet Adapter #3;FALSE;10.171.127.197;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:26:20;0
;;S1DW-DB-T;HP Network Team #1;FALSE;10.171.127.240;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;2C:76:8A:58:75:F8;0
;;S1CRM-DEV;vmxnet3 Ethernet Adapter;FALSE;10.171.127.30;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:26:18;0
;;S1CRMDB-DEV;vmxnet3 Ethernet Adapter;FALSE;10.171.127.31;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:26:19;0
;;S2CRM-T;vmxnet3 Ethernet Adapter;FALSE;10.171.127.32;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:26:1B;0
;;S1WEB-UTV;Intel(R) PRO/1000 MT Network Connection;FALSE;10.171.127.39;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:AA:00:1D;0
;;S1WEBDB-T;vmxnet3 Ethernet Adapter;FALSE;10.171.127.46;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:31:9A;0
;;S-K1ACS-T;vmxnet3 Ethernet Adapter;FALSE;10.171.127.47;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:27:85;0
;;S-K2WEBDB-T;vmxnet3 Ethernet Adapter;FALSE;10.171.127.60;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:24:86;0
;;S-K2WEBDB-UTV;vmxnet3 Ethernet Adapter;FALSE;10.171.127.61;255.255.255.0;10.171.127.1;10.171.130.11/10.171.130.13;00:50:56:BC:08:AF;0
;;S1NAV-DB-P;vmxnet3 Ethernet Adapter;FALSE;10.171.130.132;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:60:1C;0
;;BOXMLMSQL20;VMware Accelerated AMD PCNet Adapter;FALSE;10.171.130.14;255.255.255.0;10.171.130.1;10.171.130.10/10.171.130.11;00:50:56:AA:00:0A;0
;;S-K3DB-P;vmxnet3 Ethernet Adapter;FALSE;10.171.130.140;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:79:6B;0
;;S1BIZ-DB-P;Microsoft Failover Cluster Virtual Adapter;FALSE;169.254.1.127;255.255.0.0;;;FA:EC:20:52:41:53;0
;;S1BIZ-DB-P;HP Network Team #1;FALSE;10.171.130.161;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;AC:16:2D:80:22:24;0
;;S2BIZ-DB-P;Microsoft Failover Cluster Virtual Adapter;FALSE;169.254.2.129;255.255.0.0;;;2E:76:8A:58:96:38;0
;;S2BIZ-DB-P;HP Network Team #1;FALSE;10.171.130.158;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;2C:76:8A:58:96:38;0
;;S-K1NAVMIG-DB-P;vmxnet3 Ethernet Adapter;FALSE;10.171.130.177;255.255.255.0;10.171.130.143/10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:56:CD;0
;;S-K2INT-DEV;vmxnet3 Ethernet Adapter;FALSE;10.171.130.201;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:27:A3;0
;;S-K1LIME-DB-P;vmxnet3 Ethernet Adapter;FALSE;10.171.130.205;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:42:53;0
;;S1DW-DB-P;HP Network Team #1;FALSE;10.171.130.241;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;AC:16:2D:80:09:84;0
;;S3NAV-P;HP Network Team #1;FALSE;10.171.130.247;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;2C:76:8A:58:A3:E0;0
;;S3NAV-P;Microsoft Failover Cluster Virtual Adapter;FALSE;169.254.1.135;255.255.0.0;;;2E:76:8A:58:A3:E0;0
;;S-K1NAV-P;HP Network Team #1;FALSE;10.171.130.251;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;2C:76:8A:58:A6:14;0
;;S-K1NAV-P;Microsoft Failover Cluster Virtual Adapter;FALSE;169.254.3.96;255.255.0.0;;;2E:76:8A:58:A6:14;0
;;S-K1NAV-S;HP Network Team #1;FALSE;10.171.130.252;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;2C:76:8A:58:9F:14;0
;;BOXMLMSQL27;VMware Accelerated AMD PCNet Adapter;FALSE;10.171.130.26;255.255.255.0;10.171.130.1;10.171.130.10/10.171.130.11;00:50:56:AA:00:10;0
;;S-K1CRM-DB-P;vmxnet3 Ethernet Adapter;FALSE;10.171.130.30;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:08:23;0
;;S1TFS;vmxnet3 Ethernet Adapter;FALSE;10.171.130.41;255.255.255.0;10.171.130.1;10.171.130.10/10.171.130.11;00:50:56:BC:27:06;0
;;S-K1CTLG-DB-P;vmxnet3 Ethernet Adapter;FALSE;10.171.130.61;255.255.255.0;10.171.130.1;10.171.130.11/10.171.130.13;00:50:56:BC:24:3A;0
;;S1CTXBOX-DB;vmxnet3 Ethernet Adapter;FALSE;10.171.126.56;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;00:50:56:BC:55:C0;0
;;S1BIZ-DB-S;HP Network Team #1;FALSE;10.171.126.21;255.255.255.0;10.171.126.1;10.171.130.11/10.171.130.13;2C:76:8A:58:F1:64;0
