ID;ExportDate;Decomissioned;ComputerName;Domain;Model;Manufacturer;InstallDate;SerialNumber;OperatingSystem;ServicePack;OSArchitecture;OSLanguage;InstalledMemory;CPUID;CPULogical;CPUcores
;2017-03-22;0;S1NAV-DB-S;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c a4 f8 f6 a5 e4 77-b4 10 55 63 e4 eb 43 8e;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;96.0;CPU0;2;2
;2017-03-22;0;S-K1LIME-DB-S;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 63 27 32 04 ed f7-e4 fe 4c 12 0c aa 2d f6;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;40.0;CPU0/CPU1;2/2;2/2
;2017-03-22;0;S-K1CRM-DB-S;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 60 6f d0 6f 77 fa-db 0f 01 1a 6c 8a 62 e2;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;56.0;CPU0/CPU1;2/2;2/2
;2017-03-22;0;S1DW-DB-S;boxer.local;ProLiant DL380p Gen8;HP;2016-04-06;CZ2245040B      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;16/16;8/8
;2017-03-22;0;S-K1ACS-S;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 48 0f 68 e4 ff aa-fe 62 b1 2c 68 d6 c9 e8;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;12.0;CPU0;2;2
;2017-03-22;0;S4CTXBOX-DB;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c c6 8a b5 05 74 6b-43 09 8e 45 a0 90 52 07;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;8.0;CPU0/CPU1;1/1;1/1
;2017-03-22;0;S3DB-T;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 11 ff 02 07 c8 ba-c3 bd 30 3e fc 96 0d f8;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;8.0;CPU0/CPU1;1/1;1/1
;2017-03-22;0;S2NAV-T;boxer.local;ProLiant DL380p Gen8;HP;2016-04-06;CZ223408KV      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;96.0;CPU0/CPU1;16/16;8/8
;2017-03-22;0;S2BIZ-T;boxer.local;ProLiant DL380p Gen8;HP;2016-04-06;CZ2234091W      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;96.0;CPU0/CPU1;16/16;8/8
;2017-03-22;0;S2WEBDB-T;boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c c5 3c 0e c2 0f 63-dc 9e db e4 ab a6 d5 a8;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;24.0;CPU0;1;1
;2017-03-22;0;S1DW-DB-T;boxer.local;ProLiant DL380p Gen8;HP;2016-04-06;CZ2245049W      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;16/16;8/8
;2017-03-22;0;S1CRM-DEV;boxer.local;VMware7.1;VMware. Inc.;2016-04-06;VMware-42 3c 00 75 d1 13 64 4e-6e 45 1a 1f fb aa e0 80;Microsoft Windows Server 2012 Datacenter;;64-bit;1033;14.0;CPU0;2;2
