ID;ModifyDate;SysComputerName;ComputerDomain;MSSQL;SSAS;SSIS;SSRS;SQLVersion;ResourceVersionString;ProductLevel;Edition;InstanceName;SQLPort;ServerType;SQLCollation;IsCaseSensitive;IsClustered;IsFullTextInstalled;LoginMode;RootDirectory;MasterDBPath;DefaultFile;DefaultLog;BackupDirectory;ErrorLogPath;Decomissioned
;;S1CTX-CORP-DB;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;11.00.3000;Microsoft SQL Server 2012;SP1;Express Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;FALSE;Mixed;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\MSSQL_Log\;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;;S1DPM;Corpnet.teracom.se;TRUE;FALSE;FALSE;TRUE;11.00.3000;Microsoft SQL Server 2012;SP1;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;FALSE;FALSE;TRUE;Mixed;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\SQLData\;F:\SQLData\;F:\SQLBackup;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;;S1EV-DB;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;10.50.2500;Microsoft SQL Server 2008 R2;SP1;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;FALSE;FALSE;FALSE;Mixed;e:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL;E:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\DATA;;F:\SQLLog;E:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Backup;E:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Log;0
;;S1KAMSRV-T;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;12.00.2000;Microsoft SQL Server 2014;RTM;Express Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;FALSE;FALSE;FALSE;Integrated;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Backup;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;;S1KARTDB-P;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;12.00.4100;Microsoft SQL Server 2014;SP1;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;TRUE;Mixed;D:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;D:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;E:\Data\;F:\Log\;Y:\Backup;D:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;;S1KARTDB-T;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;12.00.4100;Microsoft SQL Server 2014;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;TRUE;Mixed;D:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;D:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;E:\Data\;F:\Log\;Y:\Backup;D:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;;S1ORCH;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;11.00.3000;Microsoft SQL Server 2012;SP1;Enterprise Edition: Core-based Licensing (64-bit);MSSQLSERVER;1433;Standalone;Latin1_General_CI_AS;FALSE;FALSE;FALSE;Integrated;E:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;E:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;E:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;E:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;E:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;E:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;1
;;S1SCSM-DB-P;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;13.00.1601;Microsoft SQL Server 2016;RTM;Standard Edition (64-bit);SCSMPSQL;1433;Standalone;Latin1_General_100_CI_AS;FALSE;FALSE;TRUE;Integrated;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMPSQL\MSSQL;D:\SQL\MSSQL13.SCSMPSQL\MSSQL\Data;D:\;E:\;G:\SQL\MSSQL13.SCSMPSQL\MSSQL\Backup;D:\SQL\MSSQL13.SCSMPSQL\MSSQL\Log;0
;;S1SCSM-DB-T;Corpnet.teracom.se;TRUE;FALSE;FALSE;FALSE;13.00.4435;Microsoft SQL Server 2016;SP1;Standard Edition (64-bit);SCSMTSQL;49589;Standalone;Latin1_General_100_CI_AS;FALSE;FALSE;TRUE;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMTSQL\MSSQL;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMTSQL\MSSQL\DATA;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMTSQL\MSSQL\DATA\;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMTSQL\MSSQL\DATA\;C:\SQL\MSSQL13.SCSMTSQL\MSSQL\Backup;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMTSQL\MSSQL\Log;0
;;S1SCSM-DWH-P;Corpnet.teracom.se;TRUE;TRUE;FALSE;TRUE;13.00.1601;Microsoft SQL Server 2016;RTM;Standard Edition (64-bit);SCSMPDWHSQL;1433;Standalone;Latin1_General_100_CI_AS;FALSE;FALSE;TRUE;Integrated;C:\Program Files\Microsoft SQL Server\MSSQL13.SCSMPDWHSQL\MSSQL;D:\SQL\MSSQL13.SCSMPDWHSQL\MSSQL\Data;D:\DWH\;E:\DWH\;G:\SQL\MSSQL13.SCSMPDWHSQL\MSSQL\Backup;D:\SQL\MSSQL13.SCSMPDWHSQL\MSSQL\Log;0
