ID;ExportDate;ComputerName;Domain;Decomissioned;Model;Manufacturer;InstallDate;SerialNumber;OperatingSystem;ServicePack;OSArchitecture;OSLanguage;InstalledMemory;CPUID;CPULogical;CPUcores
;2017-05-30;S1CTX-CORP-DB;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c a5 d9 7e 91 9d cd-57 19 e3 15 0d a6 9f 47;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;12.0;CPU0;2;2
;2017-05-30;S1DPM;Corpnet.teracom.se;0;ProLiant DL380p Gen8;HP;2016-06-13;CZ23180C01      ;Microsoft Windows Server 2012 Standard;;64-bit;1033;16.0;CPU0;12;6
;2017-05-30;S1EV-DB;Corpnet.teracom.se;0;ProLiant DL380 G7;HP;2016-06-13;CZ22030031      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;60.0;CPU0/CPU1;12/12;6/6
;2017-05-30;S1KAMSRV-T;Corpnet.teracom.se;0;ProLiant DL380 Gen9;HP;2016-06-13;CZJ65102YB;Microsoft Windows Server 2012 R2 Standard;;64-bit;1033;63.9;CPU0/CPU1;16/16;8/8
;2017-05-30;S1KARTDB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c f0 e2 85 c0 cf 05-c8 24 49 bc 90 83 7e 48;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;24.0;CPU0/CPU1;2/2;2/2
;2017-05-30;S1KARTDB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 5d bd b0 14 a6 8b-a9 87 6c 05 8c 0d 9a 2d;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;12.0;CPU0/CPU1;1/1;1/1
;2017-05-30;S1ORCH;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 33 12 f9 52 2d 41-74 65 25 f4 31 51 ab 99;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;8.0;CPU0;2;2
;2017-05-30;S1SCSM-DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 02 b1 77 32 8c 89-fb ca 21 bb a3 00 dd 27;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;12.0;CPU0/CPU1;2/2;2/2
;2017-05-30;S1SCSM-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 45 ac 30 93 5a 37-78 8d 03 48 18 63 57 3f;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;8.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;2017-05-30;S1SCSM-DWH-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 84 5b f1 eb 16 b4-2c fd 4c 11 6c ad 3c 56;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;12.0;CPU0/CPU1;1/1;1/1
;2017-05-30;S1SCSM-ORCH-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 7c 6b 60 4f 54 d8-54 a1 bb 77 af 81 00 94;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;8.0;CPU0/CPU1;1/1;1/1
;2017-05-30;S1SP-DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 83 8c 94 e7 d8 8d-99 5b bc 8f db 6f 4f 76;Microsoft Windows Server 2012 Datacenter;;64-bit;1033;32.0;CPU0;4;4
;2017-05-30;S1SP-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c e6 3c c8 e9 93 f2-e8 2b ec fb 13 d2 9d 46;Microsoft Windows Server 2012 Datacenter;;64-bit;1033;24.0;CPU0;4;4
;2017-05-30;S1SQLMGMT-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 19 c4 04 a6 7c db-b9 3e 87 91 f3 2d c6 1c;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;12.0;CPU0;2;2
;2017-05-30;S2SCCM;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 39 9b eb 65 ae 19-38 7e 41 8f 79 49 40 36;Microsoft Windows Server 2012 R2 Standard;;64-bit;1033;24.0;CPU0/CPU1;2/2;2/2
;2017-05-30;S2TWEB-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 14 a0 cc 1e 75 eb-26 71 17 ad 68 22 3a e8;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;12.0;CPU0/CPU1;1/1;1/1
;2017-05-30;S35A;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-56 4d 3c a0 fa b1 98 a1-7a 55 63 18 35 90 ec 8d;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;4.0;CPU0;1;1
;2017-05-30;S68A;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 07 58 5f 4c 16 cf-c3 bb 1a 44 21 06 d8 da;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;4.0;CPU0;1;1
;2017-05-30;S6DB;Corpnet.teracom.se;0;ProLiant DL380p Gen8;HP;2016-06-13;CZ2236088R      ;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1;16/16;8/8
;2017-05-30;SGHT17VCDB;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 39 3b 10 c6 ae a9 5d-a0 d8 a8 47 7c d2 2f 5d;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;8.0;CPU0;2;2
