id;date;SystemName;Name;Label;Capacity(GB);FreeSpace(GB);ProcentFree(%);Decomissioned
;;S1NAV-DB-S;\\?\Volume{bb2d29e2-1c0b-11e6-80b5-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S1NAV-DB-S;R:\;Backup;1?023.9;544.9;53.2;
;;S1NAV-DB-S;M:\;TempDB;199.9;57.6;28.8;
;;S1NAV-DB-S;Z:\;PageFile;99.9;7.0;7.0;
;;S1NAV-DB-S;F:\;SQLroot;54.9;54.6;99.4;
;;S1NAV-DB-S;G:\;NAV_DB;1?199.9;327.6;27.3;
;;S1NAV-DB-S;I:\;NAV_DK_DB;499.9;71.7;14.3;
;;S1NAV-DB-S;H:\;NAV_LOG;799.9;778.8;97.4;
;;S1NAV-DB-S;J:\;NAV_DK_LOG;299.9;284.5;94.9;
;;S1NAV-DB-S;C:\;;119.7;66.6;55.6;
;;S-K1LIME-DB-S;\\?\Volume{bdc7e5f1-46f5-11e3-80b4-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S-K1LIME-DB-S;Z:\;Pagefile;30.0;10.4;34.6;
;;S-K1LIME-DB-S;D:\;SQLRoot;20.0;19.2;96.2;
;;S-K1LIME-DB-S;E:\;Data;250.0;78.8;31.5;
;;S-K1LIME-DB-S;F:\;Log;50.0;49.7;99.4;
;;S-K1LIME-DB-S;G:\;TempDB;80.0;40.8;51.0;
;;S-K1LIME-DB-S;Y:\;Backup;150.0;96.3;64.2;
;;S-K1LIME-DB-S;C:\;;59.7;38.8;65.0;
;;S-K1CRM-DB-S;\\?\Volume{bdc7e5f1-46f5-11e3-80b4-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S-K1CRM-DB-S;Z:\;Pagefile;40.0;20.4;50.9;
;;S-K1CRM-DB-S;D:\;SQLRoot;20.0;19.7;98.7;
;;S-K1CRM-DB-S;G:\;TempDB;80.0;39.7;49.6;
;;S-K1CRM-DB-S;Y:\;Backup;460.0;115.1;25.0;
;;S-K1CRM-DB-S;E:\;Data;860.0;129.2;15.0;
;;S-K1CRM-DB-S;F:\;Log;250.0;242.1;96.9;
;;S-K1CRM-DB-S;C:\;;59.7;32.7;54.8;
;;S1DW-DB-S;C:\;;279.4;88.7;31.8;
;;S1DW-DB-S;D:\;SQLRoot;19.9;13.4;67.4;
;;S1DW-DB-S;E:\;Baloofiles;19.9;6.2;31.0;
;;S1DW-DB-S;F:\;BalooDB;550.0;41.3;7.5;
;;S1DW-DB-S;L:\;BalooLog;199.9;193.3;96.7;
;;S1DW-DB-S;R:\;BalooDBDIM;1?023.9;63.4;6.2;
;;S1DW-DB-S;S:\;Snapinfo;19.9;19.8;99.6;
;;S1DW-DB-S;U:\;Cubes;199.9;113.7;56.9;
;;S1DW-DB-S;V:\;TempDB;99.9;69.6;69.6;
;;S1DW-DB-S;X:\;;4.9;4.9;98.9;
;;S-K1ACS-S;\\?\Volume{c11a3d6c-2f6d-11e4-80cc-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S-K1ACS-S;Z:\;Pagefile;20.0;0.4;1.8;
;;S-K1ACS-S;D:\;SQL Root;30.0;29.5;98.3;
;;S-K1ACS-S;E:\;Data;80.0;45.2;56.5;
;;S-K1ACS-S;L:\;Log;40.0;39.4;98.6;
;;S-K1ACS-S;T:\;TempDB;30.0;29.9;99.7;
;;S-K1ACS-S;C:\;;59.7;42.6;71.4;
;;S4CTXBOX-DB;\\?\Volume{bdc7e5f1-46f5-11e3-80b4-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S4CTXBOX-DB;Z:\;Pagefile;20.0;0.4;1.8;
;;S4CTXBOX-DB;D:\;data;39.9;39.0;97.9;
;;S4CTXBOX-DB;C:\;;59.7;41.5;69.6;
;;S3DB-T;\\?\Volume{bdc7e5f1-46f5-11e3-80b4-806e6f6e6963}\;System Reserved;0.3;0.1;17.4;
;;S3DB-T;Z:\;Pagefile;20.0;0.4;1.8;
;;S3DB-T;G:\;SQLRoot;20.0;19.1;95.5;
;;S3DB-T;D:\;Data;60.0;23.5;39.1;
;;S3DB-T;L:\;Log;15.0;5.5;36.6;
;;S3DB-T;T:\;TempDB;10.0;9.7;96.8;
;;S3DB-T;B:\;Backup;30.0;17.6;58.8;
;;S3DB-T;C:\;;59.7;37.6;63.0;
;;S2NAV-T;C:\;;100.0;20.3;20.3;
;;S2NAV-T;G:\;Data;3?071.9;1?985.2;64.6;
