ID;date;ComputerName;Domain;MSSQL;SSAS;SSIS;SSRS;ResourceVersionString;ProductLevel;Edition;InstanceName;ServerType;Collation;IsCaseSensitive;IsClustered;IsFullTextInstalled;LoginMode;RootDirectory;DefaultFile;DefaultLog;BackupDirectory;ErrorLogPath;Decomissioned
;;S1NAV-DB-S;boxer.local;TRUE;FALSE;TRUE;FALSE;Microsoft SQL Server 2014;SP1;Developer Edition (64-bit);;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;TRUE;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Backup;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;;S-K1LIME-DB-S;boxer.local;TRUE;FALSE;TRUE;FALSE;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;TRUE;Mixed;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;E:\Data\;F:\Data\;Y:\SQLBackup;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;;S-K1CRM-DB-S;boxer.local;TRUE;FALSE;TRUE;TRUE;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;TRUE;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;;S1DW-DB-S;boxer.local;TRUE;TRUE;TRUE;TRUE;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);;Standalone;SQL_Latin1_General_CP1_CI_AS;FALSE;FALSE;FALSE;Mixed;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\SQLData\;L:\SQLLog\;F:\SQLBackup;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;;S-K1ACS-S;boxer.local;TRUE;FALSE;FALSE;FALSE;Microsoft SQL Server 2014;RTM;Developer Edition (64-bit);;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;FALSE;Mixed;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;E:\Data\;L:\Log\;E:\Backup;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;;S4CTXBOX-DB\CITRIXDB;boxer.local;TRUE;FALSE;FALSE;FALSE;Microsoft SQL Server 2014;RTM;Express Edition (64-bit);CITRIXDB;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;FALSE;Integrated;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\DATA\;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\DATA\;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\Backup;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\Log;0
;;S3DB-T;boxer.local;TRUE;FALSE;TRUE;FALSE;Microsoft SQL Server 2014;RTM;Developer Edition (64-bit);;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;FALSE;Mixed;G:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL;D:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Data\;L:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Data\;B:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Backup;G:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Log;0
;;S2NAV-T;boxer.local;TRUE;FALSE;FALSE;FALSE;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);;Standalone;SQL_Scandinavian_CP850_CI_AS;FALSE;FALSE;FALSE;Mixed;F:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;G:\Data\;H:\Data\;Y:\SQLBackup;F:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;;S2WEBDB-T;boxer.local;TRUE;FALSE;FALSE;FALSE;Microsoft SQL Server 2008 R2;RTM;Developer Edition (64-bit);;Standalone;Finnish_Swedish_CI_AS;FALSE;FALSE;FALSE;Mixed;G:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL;D:\SQLData;E:\SQLLog;F:\SQLBackup;G:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Log;0
;;S1DW-DB-T;boxer.local;TRUE;TRUE;TRUE;TRUE;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);;Standalone;SQL_Latin1_General_CP1_CI_AS;FALSE;FALSE;FALSE;Mixed;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\SQLData\;L:\SQLLog\;T:\SQLBackup;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
