ID;date;ComputerName;Name;Vendor;Version;Decomissioned
;;S1NAV-DB-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;;S1NAV-DB-S;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;;S1NAV-DB-S;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;;S1NAV-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;;S1NAV-DB-S;SQL Server 2014 Integration Services;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
;;S1NAV-DB-S;SQL Server 2014 SQL Data Quality Common;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Integration Services;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Sql Server Customer Experience Improvement Program;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S1NAV-DB-S;Microsoft System CLR Types for SQL Server 2014;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S1NAV-DB-S;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.0.2100.60;0
;;S1NAV-DB-S;Visual Studio 2010 Prerequisites - English;Microsoft Corporation;10.0.40219;0
;;S1NAV-DB-S;Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S1NAV-DB-S;SQL Server 2014 Database Engine Services;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.3.5500.0;0
;;S1NAV-DB-S;Microsoft Visual Studio 2010 Shell (Isolated) - ENU;Microsoft Corporation;10.0.40219;0
;;S1NAV-DB-S;SQL Server 2014 Common Files;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;VMware Tools;VMware. Inc.;10.0.0.3000743;0
;;S1NAV-DB-S;Microsoft SQL Server 2008 R2 Management Objects;Microsoft Corporation;10.51.2500.0;0
;;S1NAV-DB-S;Microsoft SQL Server 2014 Transact-SQL ScriptDom ;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft VSS Writer for SQL Server 2014;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Full text search;Microsoft Corporation;12.0.2000.8;0
;;S1NAV-DB-S;Microsoft Visual Studio Tools for Applications x86 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;;S1NAV-DB-S;SQL Server Browser for SQL Server 2014;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161;Microsoft Corporation;9.0.30729.6161;0
;;S1NAV-DB-S;SQL Server 2014 Management Studio;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft .NET Framework 4 Multi-Targeting Pack;Microsoft Corporation;4.0.30319;0
;;S1NAV-DB-S;SQL Server 2014 Database Engine Shared;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft SQL Server 2014 RsFx Driver;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft Visual Studio Tools for Applications x64 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;;S1NAV-DB-S;SQL Server 2014 Database Engine Shared;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Management Studio;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Client Tools;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Common Files;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft ODBC Driver 11 for SQL Server;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft SQL Server 2008 R2 Native Client;Microsoft Corporation;10.51.2500.0;0
;;S1NAV-DB-S;Microsoft SQL Server 2014 Setup (English);Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Client Tools;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;Microsoft Corporation;9.0.30729.4148;0
;;S1NAV-DB-S;Microsoft Report Viewer 2014 Runtime;Microsoft Corporation;12.0.2000.8;0
;;S1NAV-DB-S;Microsoft SQL Server 2014 Transact-SQL Compiler Service ;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;SQL Server 2014 Database Engine Services;Microsoft Corporation;12.1.4100.1;0
;;S1NAV-DB-S;Microsoft SQL Server 2014 Policies ;Microsoft Corporation;12.0.2000.8;0
;;S-K1LIME-DB-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;;S-K1LIME-DB-S;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;;S-K1LIME-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2012 Policies ;Microsoft Corporation;11.0.2100.60;0
;;S-K1LIME-DB-S;VMware Tools;VMware. Inc.;10.0.9.3917699;0
;;S-K1LIME-DB-S;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
;;S-K1LIME-DB-S;SQL Server Browser for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1LIME-DB-S;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1LIME-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
