ID;ModifyDate;ComputerName;Name;Vendor;Version;Decomissioned
;2017-03-27 10:41;S2WEBDB;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6015.5000;0
;2017-03-27 10:41;S2WEBDB;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
;2017-03-27 10:41;S2WEBDB;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S2WEBDB;Configuration Manager Client;Microsoft Corporation;5.00.7958.1000;0
;2017-03-27 10:41;S2WEBDB;Microsoft Visual C++ 2005 Redistributable (x64);Microsoft Corporation;8.0.61000;0
;2017-03-27 10:41;S2WEBDB;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Database Engine Services;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server 2008 R2 Policies;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Database Engine Shared;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server 2008 R2 RsFx Driver;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Client Tools;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server Browser;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU;Microsoft Corporation;3.5.8080.0;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Database Engine Services;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft Policy Platform;Microsoft Corporation;1.2.3602.0;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Management Studio;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.1.2731.0;0
;2017-03-27 10:41;S2WEBDB;Microsoft Report Viewer Redistributable 2008 (KB971119);Microsoft Corporation;9.0.30731;0
;2017-03-27 10:41;S2WEBDB;VMware Tools;VMware. Inc.;8.3.2.1593;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server 2008 R2 Setup (English);Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Database Engine Shared;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Client Tools;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft Visual Studio Tools for Applications 2.0 - ENU;Microsoft Corporation;9.0.35191;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Common Files;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server Compact 3.5 SP2 ENU;Microsoft Corporation;3.5.8080.0;0
;2017-03-27 10:41;S2WEBDB;Microsoft Silverlight;Microsoft Corporation;5.1.20513.0;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server System CLR Types (x64);Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server VSS Writer;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Common Files;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Microsoft SQL Server 2008 R2 Native Client;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;SQL Server 2008 R2 Management Studio;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S2WEBDB;Sql Server Customer Experience Improvement Program;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6015.5000;0
;2017-03-27 10:41;S1WEBDB-S;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
;2017-03-27 10:41;S1WEBDB-S;VMware Tools;VMware. Inc.;8.6.11.20852;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-S;Configuration Manager Client;Microsoft Corporation;5.00.7958.1000;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Visual C++ 2005 Redistributable (x64);Microsoft Corporation;8.0.61000;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Database Engine Services;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft SQL Server 2008 R2 Policies;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Database Engine Shared;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft SQL Server 2008 R2 RsFx Driver;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161;Microsoft Corporation;9.0.30729.6161;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Client Tools;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft SQL Server Browser;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU;Microsoft Corporation;3.5.8080.0;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Database Engine Services;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Policy Platform;Microsoft Corporation;1.2.3602.0;0
;2017-03-27 10:41;S1WEBDB-S;7-Zip 9.20 (x64 edition);Igor Pavlov;9.20.00.0;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Management Studio;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.1.2731.0;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft Report Viewer Redistributable 2008 (KB971119);Microsoft Corporation;9.0.30731;0
;2017-03-27 10:41;S1WEBDB-S;Microsoft SQL Server 2008 R2 Setup (English);Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Database Engine Shared;Microsoft Corporation;10.50.1600.1;0
;2017-03-27 10:41;S1WEBDB-S;SQL Server 2008 R2 Client Tools;Microsoft Corporation;10.50.1600.1;0
