ID;ModifyDate;ComputerName;Name;Vendor;Version;Decomissioned
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;2017-05-02 15:15;S3DB-INTEG-P;Pacote de Idiomas do Microsoft Visual Studio Tools for Applications 2012 Design-Time - PTB;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Ultimate 2012 XAML UI Designer Core;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft .NET Framework 4.5.1 Multi-Targeting Pack;Microsoft Corporation;4.5.50932;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server Compact 4.0 SP1 x64 ENU;Microsoft Corporation;4.0.8876.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 Integration Services;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft ASP.NET MVC 4 - Visual Studio 2012 Tools;Microsoft Corporation;4.0.20710.0;0
;2017-05-02 15:15;S3DB-INTEG-P;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual C++ 2012 x64 Debug Runtime - 11.0.50727;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 SQL Data Quality Common;Microsoft Corporation;12.0.2000.8;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Ultimate 2013 XAML UI Designer Core;Microsoft Corporation;12.0.21005;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.1.3407.0;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 SQL Data Quality Common;Microsoft Corporation;12.1.4100.1;0
